id_terraza,id_local,id_distrito_local,desc_distrito_local,id_barrio_local,desc_barrio_local,id_ndp_edificio,id_vial_edificio,clase_vial_edificio,desc_vial_edificio,num_edificio,Cod_Postal,coordenada_x_local,coordenada_y_local,id_tipo_acceso_local,desc_tipo_acceso_local,id_situacion_local,desc_situacion_local,secuencial_local_PC,id_planta_agrupado,rotulo,id_periodo_terraza,desc_periodo_terraza,id_situacion_terraza,desc_situacion_terraza,Superficie_ES,Superficie_RA,Fecha_confir_ult_decreto_resol,id_ndp_terraza,ID_VIAL,DESC_CLASE,DESC_NOMBRE,num_terraza,cal_terraza,desc_ubicacion_terraza,hora_ini_LJ_es,hora_fin_LJ_es,hora_ini_LJ_ra,hora_fin_LJ_ra,hora_ini_VS_es,hora_fin_VS_es,hora_ini_VS_ra,hora_fin_VS_ra,mesas_aux_es,mesas_aux_ra,mesas_es,mesas_ra,sillas_es,sillas_ra
4056,70000928,7,CHAMBERI            ,703,TRAFALGAR           ,11040601,545200,PLAZA                   ,OLAVIDE                                           ,12,28010,"440594,6","4476019,53",1,Puerta Calle,1,Abierto,30,PB,CERVECERIA CARRIL,1,Anual,1,Abierta,72.12,37.5,05/12/2016,11040601,545200,PLAZA                   ,OLAVIDE                                           ,12,  ,Plaza peatonal,08:00:00,01:30:00,08:00:00,01:00:00,08:00:00,01:30:00,08:00:00,01:00:00,0,0.0,19,19.0,67,  
4057,70000939,7,CHAMBERI            ,706,VALLEHERMOSO        ,31006826,297025,AVENIDA                 ,FILIPINAS                                         ,1,28003,"439600,6","4476779,54",1,Puerta Calle,1,Abierto,20,PB,RODILLA,1,Anual,1,Abierta,33.75,33.75,05/12/2016,31006826,297025,AVENIDA                 ,FILIPINAS                                         ,1, B,Acera,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0.0,7,7.0,28, B
4060,70000950,7,CHAMBERI            ,703,TRAFALGAR           ,11040174,622200,GLORIETA                ,QUEVEDO                                           ,8,28015,"440294,6","4476147,53",1,Puerta Calle,1,Abierto,10,PB,GINOS,1,Anual,1,Abierta,37.08,306.0,05/12/2016,11040174,622200,GLORIETA                ,QUEVEDO                                           ,8,  ,Acera,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0.0,21,17.0,42,  
4061,70000973,7,CHAMBERI            ,705,RIOS ROSAS          ,11041838,602600,CALLE                   ,PONZANO                                           ,48,28003,"440714,6","4476897,53",1,Puerta Calle,1,Abierto,10,PB,EL SECRETO,1,Anual,1,Abierta,20.7,20.7,05/12/2016,11041838,602600,CALLE                   ,PONZANO                                           ,48,  ,Zona de estacionamiento,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0.0,4,4.0,12,  
4062,70000979,7,CHAMBERI            ,706,VALLEHERMOSO        ,11042705,669400,PASEO                   ,SAN FRANCISCO DE SALES                            ,28,28003,"439405,61","4476959,54",1,Puerta Calle,1,Abierto,30,PB,TABERNA CHAMBERI,1,Anual,1,Abierta,42.61,42.61,05/12/2016,11042705,669400,PASEO                   ,SAN FRANCISCO DE SALES                            ,28,  ,Acera,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0.0,13,13.0,44,  
4063,70001024,7,CHAMBERI            ,705,RIOS ROSAS          ,11042293,627700,CALLE                   ,RAIMUNDO FERNANDEZ VILLAVERDE                     ,26,28003,"440625,6","4477517,53",1,Puerta Calle,1,Abierto,30,PB,SHASHA BOOM,1,Anual,1,Abierta,464.0,46.4,05/12/2016,11042293,627700,CALLE                   ,RAIMUNDO FERNANDEZ VILLAVERDE                     ,26,  ,Acera,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,2,2.0,16,16.0,54,  
4065,70001068,7,CHAMBERI            ,705,RIOS ROSAS          ,11042016,114600,CALLE                   ,BRAVO MURILLO                                     ,86,28003,"440315,6","4477425,53",1,Puerta Calle,1,Abierto,10,PB,BALMORI SIDRERIA,1,Anual,1,Abierta,44.0,44.0,05/12/2016,11042016,114600,CALLE                   ,BRAVO MURILLO                                     ,86,  ,Plaza con bandas permanentes de circulación rodada,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0.0,8,8.0,32,  
4066,70001081,7,CHAMBERI            ,703,TRAFALGAR           ,11040577,750700,CALLE                   ,TRAFALGAR                                         ,24,28010,"440542,6","4476083,53",1,Puerta Calle,1,Abierto,10,PB,CASA PUEBLA,1,Anual,1,Abierta,68.58,68.58,05/12/2016,11040549,545200,PLAZA                   ,OLAVIDE                                           ,8,  ,Plaza peatonal,08:00:00,01:30:00,08:00:00,01:00:00,08:00:00,01:30:00,08:00:00,01:00:00,0,0.0,20,20.0,73,  
4067,70001116,7,CHAMBERI            ,703,TRAFALGAR           ,11040075,313100,CALLE                   ,FUENCARRAL                                        ,148,28010,"440312,6","4476000,53",1,Puerta Calle,1,Abierto,10,PB,BURNOUT,1,Anual,1,Abierta,37.65,25.4,05/12/2016,11040075,313100,CALLE                   ,FUENCARRAL                                        ,148,  ,Acera,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0.0,18,13.0,39,  
4068,70001130,7,CHAMBERI            ,705,RIOS ROSAS          ,11041613,293100,CALLE                   ,FERNANDEZ DE LA HOZ                               ,53,28003,"441080,59","4476709,52",1,Puerta Calle,1,Abierto,30,PB,LA GABINOTECA,1,Anual,1,Abierta,27.0,27.0,05/12/2016,11041613,293100,CALLE                   ,FERNANDEZ DE LA HOZ                               ,53,  ,Plaza peatonal,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0.0,8,8.0,30,  
4069,70001139,7,CHAMBERI            ,703,TRAFALGAR           ,11040050,750700,CALLE                   ,TRAFALGAR                                         ,18,28010,"440580,6","4475952,53",1,Puerta Calle,1,Abierto,10,PB,BAR ASTURIAS,1,Anual,1,Abierta,20.52,20.52,05/12/2016,11040050,750700,CALLE                   ,TRAFALGAR                                         ,18,  ,Acera,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0.0,8,8.0,26,  
4072,70001150,7,CHAMBERI            ,704,ALMAGRO             ,11041572,505700,CALLE                   ,MIGUEL ANGEL                                      ,24,28010,"441387,59","4476394,52",1,Puerta Calle,1,Abierto,20,PB,DELINA'S,1,Anual,1,Abierta,52.98,52.98,05/12/2016,11041572,505700,CALLE                   ,MIGUEL ANGEL                                      ,24,  ,Acera,08:00:00,01:30:00,08:00:00,01:00:00,08:00:00,01:30:00,08:00:00,01:00:00,0,0.0,22,22.0,72,  
4074,70001400,7,CHAMBERI            ,703,TRAFALGAR           ,11040599,444200,CALLE                   ,LUCHANA                                           ,37,28010,"440776,59","4475978,53",1,Puerta Calle,1,Abierto,20,PB,TANDORI HOUSE,1,Anual,1,Abierta,10.8,10.8,05/12/2016,11040599,444200,CALLE                   ,LUCHANA                                           ,37,  ,Acera,10:00:00,02:30:00,10:00:00,00:00:00,10:00:00,01:00:00,10:00:00,00:00:00,0,0.0,5,5.0,14,  
4075,70001425,7,CHAMBERI            ,701,GAZTAMBIDE          ,11038677,501000,CALLE                   ,MELENDEZ VALDES                                   ,68,28015,"439173,61","4476085,54",1,Puerta Calle,1,Abierto,10,PB,KUN FU,1,Anual,1,Abierta,16.2,16.2,05/12/2016,11038677,501000,CALLE                   ,MELENDEZ VALDES                                   ,68,  ,Acera,10:00:00,00:00:00,10:00:00,00:00:00,10:00:00,01:30:00,10:00:00,00:00:00,0,0.0,5,5.0,20,  
4076,70001426,7,CHAMBERI            ,703,TRAFALGAR           ,11040546,527000,CALLE                   ,MURILLO                                           ,1,28010,"440555,6","4476081,53",1,Puerta Calle,1,Abierto,20,PB,LA OLIVA,1,Anual,1,Abierta,66.42,66.42,05/12/2016,11040550,545200,PLAZA                   ,OLAVIDE                                           ,9,  ,Plaza peatonal,08:00:00,01:30:00,08:00:00,01:00:00,08:00:00,01:30:00,08:00:00,01:00:00,0,0.0,21,21.0,84,  
4077,70001466,7,CHAMBERI            ,701,GAZTAMBIDE          ,11038659,67500,CALLE                   ,ARCIPRESTE DE HITA                                ,14,28015,"439095,61","4476233,54",1,Puerta Calle,1,Abierto,50,PB,NIGIRI,1,Anual,1,Abierta,16.12,13.84,05/12/2016,11038659,67500,CALLE                   ,ARCIPRESTE DE HITA                                ,14,  ,Acera,10:00:00,00:00:00,10:00:00,00:00:00,10:00:00,01:30:00,10:00:00,00:00:00,0,0.0,9,9.0,28,  
4079,70001534,7,CHAMBERI            ,703,TRAFALGAR           ,11040713,308800,CALLE                   ,FRANCISCO DE ROJAS                                ,2,28010,"440675,59","4475588,53",1,Puerta Calle,1,Abierto,20,PB,LA CABRA,1,Anual,1,Abierta,31.0,31.0,05/12/2016,11040713,308800,CALLE                   ,FRANCISCO DE ROJAS                                ,2,  ,Zona de estacionamiento,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0.0,5,5.0,14,  
4080,70001589,7,CHAMBERI            ,704,ALMAGRO             ,11041209,331100,PASEO                   ,GENERAL MARTINEZ CAMPOS                           ,44,28010,"441316,59","4476269,52",1,Puerta Calle,1,Abierto,10,PB,LA ALACENA DE MADRID,1,Anual,1,Abierta,12.97,12.97,05/12/2016,11041209,331100,PASEO                   ,GENERAL MARTINEZ CAMPOS                           ,44,  ,Acera,08:00:00,01:30:00,08:00:00,01:00:00,08:00:00,01:30:00,08:00:00,01:00:00,0,0.0,4,4.0,16,  
4081,70001614,7,CHAMBERI            ,704,ALMAGRO             ,20146700,256500,PASEO                   ,EDUARDO DATO                                      ,5,28010,"441006,59","4476040,52",1,Puerta Calle,1,Abierto,20,PB,LUA,1,Anual,1,Abierta,33.54,33.54,05/12/2016,20146700,256500,PASEO                   ,EDUARDO DATO                                      ,5,  ,Acera,08:00:00,01:30:00,08:00:00,01:00:00,08:00:00,01:30:00,08:00:00,01:00:00,0,0.0,18,9.0,60,  
4082,70001647,7,CHAMBERI            ,705,RIOS ROSAS          ,11042294,627700,CALLE                   ,RAIMUNDO FERNANDEZ VILLAVERDE                     ,28,28003,"440671,6","4477514,53",1,Puerta Calle,1,Abierto,20,PB,RESTAURANTE MARUZZELLA                            ,1,Anual,1,Abierta,59.71,59.71,05/12/2016,31047945,627700,CALLE                   ,RAIMUNDO FERNANDEZ VILLAVERDE                     ,28, B,Acera,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0.0,21,21.0,79,  
4084,70001762,7,CHAMBERI            ,704,ALMAGRO             ,11040837,334800,CALLE                   ,GENOVA                                            ,27,28004,"441278,59","4475283,52",1,Puerta Calle,1,Abierto,10,PB,WAGAMAMA,1,Anual,1,Abierta,17.98,17.98,05/12/2016,11040837,334800,CALLE                   ,GENOVA                                            ,27,  ,Acera,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0.0,7,7.0,22,  
4085,70001786,7,CHAMBERI            ,703,TRAFALGAR           ,11040276,114600,CALLE                   ,BRAVO MURILLO                                     ,34,28015,"440287,6","4476544,53",1,Puerta Calle,1,Abierto,10,PB,100 MONTADITOS,1,Anual,1,Abierta,19.04,19.04,05/12/2016,11040276,114600,CALLE                   ,BRAVO MURILLO                                     ,34,  ,Acera,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0.0,7,7.0,19,  
